Trait,Domain,Category,Branch,Tier,Cost,Display,Req,X
Frenzied,Humanoid,Genetic Mutation,Gobynoid,T2,5,Fearless; Pre: Class Trait,,
Goblyn Attack,Humanoid,Genetic Mutation,Gobynoid,T2,2,Squad Size 2,,
Goblyn Hordes,Humanoid,Genetic Mutation,Gobynoid,T2,0,Hordes 2,,
Infused Magicks,Humanoid,Genetic Mutation,Gobynoid,T2,6,Increase Willpower 1; Wizardry 1; Pre: Imp,,
Impish Wings,Humanoid,Genetic Mutation,Gobynoid,T2,6,Flight; Pre: Imp,,
Night Vision,Humanoid,Genetic Mutation,Gobynoid,T2,1,Night Sight 22,,
Poison Bile ,Humanoid,Genetic Mutation,Gobynoid,T2,10,(M) Poison 1 10pts; Spit Attack (Natural Weapon); Pre: Imp,,
Long Claws ,Humanoid,Genetic Mutation,Gobynoid,T2,5,Claws 1 (Natural Weapon),,
Scavenger,Humanoid,Genetic Mutation,Gobynoid,T2,0,Scavenger 1; Pre: Goblyn,,
Uncanny Defenses,Humanoid,Genetic Mutation,Gobynoid,T2,4,Increase Defense 1,,
Greater Understanding,Humanoid,Genetic Mutation,Knowledge,T1,4,Knowledgeable Species,,
Situational Awareness,Humanoid,Genetic Mutation,Knowledge,T1,5,Increase Willpower 1; Pre: Class Trait,,
Innate Intelligence,Humanoid,Genetic Mutation,Knowledge,T2,4,Knowledgeable Species,,
Specialized Knowledge,Humanoid,Genetic Mutation,Knowledge,T2,8,Specialized Knowledge 1,,
Endure Pain,Humanoid,Genetic Mutation,Toughness,T1,8,Increase Toughness 1,,
Hardened Body,Humanoid,Genetic Mutation,Toughness,T1,2,Decrease Critical Damage 1,,
Dense Bones,Humanoid,Genetic Mutation,Toughness,T2,8,Increase Toughness 1,,
Difficult to Kill,Humanoid,Genetic Mutation,Toughness,T2,10,Increase Wounds 1,,
Detailed Perception,Humanoid,Genetic Mutation,Tetrachromancy,T1,5,Perception,,
Quick Targeting ,Humanoid,Genetic Mutation,Tetrachromancy,T1,6,Quick Targeting 2,,
Emboldened Colors ,Humanoid,Genetic Mutation,Tetrachromancy,T1,5,Tetrachomancy 1,,
Superior Tetrachomancy ,Humanoid,Genetic Mutation,Tetrachromancy,T2,8,Tetrachomancy 1,,
Abundance ,Humanoid,Environmental Adaptation,Acquired Wealth,T1,0,Abundant Resources 1; Pre: Mission Award,,
Mineral Wealth ,Humanoid,Environmental Adaptation,Acquired Wealth,T2,1,Mineral Riches 3; Pre: Mission Award; Pre: Class Trait,,
Adaptive Advantage ,Humanoid,Environmental Adaptation,Adaptive Advantage,T1,4,Increase Martial 1 or Increase Ranged 1,,
Trailfinder ,Humanoid,Environmental Adaptation,Adaptive Advantage,T1,6,Increase Movement 1 or All-Around Sight 1,,
Adaptive Flexibility ,Humanoid,Environmental Adaptation,Adaptive Advantage,T2,8,Increase MTN 1 or Increase RTN 1,,
Greater Mutation ,Humanoid,Environmental Adaptation,Adaptive Advantage,T2,8,Specialized Mutation 1,,
Rapid Reaction ,Humanoid,Environmental Adaptation,Adaptive Advantage,T2,4,Burst of Speed 4,,
Rare Adaptive Traits ,Humanoid,Environmental Adaptation,Adaptive Advantage,T2,3,Rare Traits 2 - Environmental Adaptation,,
Cavalry ,Humanoid,Environmental Adaptation,Domestication,T1,2,Armory: Warmount 15pts,,
Light Cavalry ,Humanoid,Environmental Adaptation,Domestication,T1,2,Warmount (Lightweight) Mount,,
Trained Animals ,Humanoid,Environmental Adaptation,Domestication,T1,2,War Animals,,
Breeding Programs ,Humanoid,Environmental Adaptation,Domestication,T2,6,Breeding Programs 1,,
Exotic Creatures ,Humanoid,Environmental Adaptation,Domestication,T2,4,Exotic War Animals 2,,
Heavy Cavalry ,Humanoid,Environmental Adaptation,Domestication,T2,4,Warmount (Heavyweight) Mount; Pre: Warmount,,
Rare Animals ,Humanoid,Environmental Adaptation,Domestication,T2,15,Breeding Programs 2,,
Aristocracy ,Humanoid,Environmental Adaptation,Culture,T1,2,Increase Command 1 (Level 3 and 4 Classes Only),,
Councils ,Humanoid,Environmental Adaptation,Culture,T1,2,Squad Size 1 (Class Levels 1-2),,
Heroic Nobility ,Humanoid,Environmental Adaptation,Culture,T1,3,Squad Size 1 (Class Level 1) and Increase Command 1 (Level 3-5 Classes Only) ,,
Hierarchical,Humanoid,Environmental Adaptation,Culture,T1,2,Bonus Class 1 (Level 2-3),Species Trait Only,
Mercantile Society,Humanoid,Environmental Adaptation,Culture,T1,0,Armory: Abundant Resources -1pts,,
Mercenaries,Humanoid,Environmental Adaptation,Culture,T1,2,Mercenary Class 2,Class Trait Only,
Nomadic,Humanoid,Environmental Adaptation,Culture,T1,1,Bonus Class 1 (Level 1),Species Trait Only,
Slave Population ,Humanoid,Environmental Adaptation,Culture,T1,2,Slave Class,,
Tribal ,Humanoid,Environmental Adaptation,Culture,T1,2,Bonus Class 2 (Level 1),Species Trait Only,
Gladiatorial Pits ,Humanoid,Environmental Adaptation,Culture,T2,3,Warrior Slaves,Prerequisite Trait: Slave Population,
God Kings ,Humanoid,Environmental Adaptation,Culture,T2,3,Bonus Class Traits 3 (Level 5),Species Trait Only,
Knowledge Focus ,Humanoid,Environmental Adaptation,Culture,T2,2,Maximum Class Traits 1,Class Trait Only,
Legendary Heroes ,Humanoid,Environmental Adaptation,Culture,T2,3,Bonus Class Traits 2 (Level 3),Species Trait Only,
Massed Hordes ,Humanoid,Environmental Adaptation,Culture,T2,3,Hordes 2 (Level 1 Classes),,
Mineral Abundance ,Humanoid,Environmental Adaptation,Culture,T2,0,Armory: Mineral Riches -1pts,,
Monsters Within ,Humanoid,Environmental Adaptation,Culture,T2,3,Monstrous Beast 1,,
Aberration ,Humanoid,Environmental Adaptation,Deviants,T1,5,Aberrational Increase Characteristic 1 Decrease Characteristic 1 - Opposite of Increase,,
Troll ,Humanoid,Environmental Adaptation,Deviants,T1,7,Species Variant 1; Increase Size 1; Increase Strength 1; Decrease Defense 1,,
Humanoid Abomination ,Humanoid,Environmental Adaptation,Deviants,T2,8,Aberrational Increase Characteristic 1 Decrease Characteristic 1 - Opposite of Aberrational Increase,,
Magic Dampening ,Humanoid,Environmental Adaptation,Deviants,T2,12,Anathema 3,1st Age,
Crushing Fists ,Humanoid,Environmental Adaptation,Deviants,T2,8,(Natural Weapons): Crushing 2 - Claws Morph,,
Fearless Attacker ,Humanoid,Environmental Adaptation,Deviants,T2,8,Fearless,,
Large Teeth ,Humanoid,Environmental Adaptation,Deviants,T2,8,(Natural Weapon): Piercing 2 - Bite Morph,,
Long Claws ,Humanoid,Environmental Adaptation,Deviants,T2,5,(Natural Weapon): Claws 1,,
Magic Awareness ,Humanoid,Environmental Adaptation,Deviants,T2,12,Resistance Powers 1; Ethereal Sight 24,,
Massive Size ,Humanoid,Environmental Adaptation,Deviants,T2,6,Increase Model Size 1,,
Rage ,Humanoid,Environmental Adaptation,Deviants,T2,10,Combat Enhancement 2 - Offensive Melee Combat Situation ,,
Fast Healing ,Humanoid,Environmental Adaptation,Deviants,T2,12,Regeneration 1,,
No Soul ,Humanoid,Environmental Adaptation,Deviants,T2,20,Soulless,,
Terrible Bite ,Humanoid,Environmental Adaptation,Deviants,T2,5,Natural Weapons: Bite 1,,
Extremis Resistance ,Humanoid,Environmental Adaptation,Environmental Extremes,T1,1,Resistance Extremis 2 Weakness 2 (Your choice of one Extremis),,
Extremis Weakness ,Humanoid,Environmental Adaptation,Environmental Extremes,T1,0,Resistance Extremis 1 Weakness 2 (Your choice of one Extremis),,
Resistance ,Humanoid,Environmental Adaptation,Environmental Extremes,T1,1,Resistance Extremis 1 (Your choice of one Extremis),,
Extremis Immunities ,Humanoid,Environmental Adaptation,Environmental Extremes,T2,5,Resistance Immunity (Your choice of one Extremis),,
Great Resistance ,Humanoid,Environmental Adaptation,Environmental Extremes,T2,4,Resistance Extremis 3 Weakness 1 (Your Choice of 1 Extremis only),,
Descendant ,Humanoid,Environmental Adaptation,Fey-Born,T1,4,Species Variant 1; Increase Willpower 1; Decrease Discipline 1,,
Fey-Born ,Humanoid,Environmental Adaptation,Fey-Born,T1,8,Species Variant 1; Fey Hybrid 1,,
Ethereal Blinking ,Humanoid,Environmental Adaptation,Fey-Born,T2,4,Ethereal Jump (using a d3 instead of a d6),,
Extraordinary Bows ,Humanoid,Environmental Adaptation,Fey-Born,T2,4,Feybow 6,,
Augmented Powers 1,Humanoid,Environmental Adaptation,Fey-Born,T2,15,Fey Sight,Class Trait Only (3+),
Elven Sight ,Humanoid,Environmental Adaptation,Fey-Born,T2,6,Foresight 1,,
Massive Willpower ,Humanoid,Environmental Adaptation,Fey-Born,T2,8,Increase Willpower 2,,
Elven Precognition ,Humanoid,Environmental Adaptation,Fey-Born,T2,6,Precognition 1,,
Advanced Sight ,Humanoid,Environmental Adaptation,Fey-Born,T2,8,Tactical Sight 2,,
Feral ,Humanoid,Environmental Adaptation,Feral,T1,4,Species Variant 1; Biestial Hybrid 1,,
Orc ,Humanoid,Environmental Adaptation,Feral,T1,5,Species Variant 1; Increase Strength 1; Decrease Command 1,,
Wild ,Humanoid,Environmental Adaptation,Feral,T1,4,Increase Movement 1; Decrease Discipline 1,,
Bestial Attributes ,Humanoid,Environmental Adaptation,Feral,T2,6,Increase Movement 1 or Increase Toughness 1,,
Wild Beasts ,Humanoid,Environmental Adaptation,Feral,T2,4,Feral Beasts 1,,
Ferocity ,Humanoid,Environmental Adaptation,Feral,T2,5,Increase Strength 2,,
Commanding Strength ,Humanoid,Environmental Adaptation,Feral,T2,6,Might Makes Right,Class Trait Only (3+),
Predatory Claws ,Humanoid,Environmental Adaptation,Feral,T2,5,5pts (Natural Weapon): Claws 1,,
Supernatural Werebeast 6,Humanoid,Environmental Adaptation,Feral,T2,65,Werebeast -Supernatural,Pre: Therianthropy|Class Trait (3+),
Werebeasts ,Humanoid,Environmental Adaptation,Feral,T2,8,Therianthropy,(Cursed or Inflicted only),
Unnatural Werebeast 2,Humanoid,Environmental Adaptation,Feral,T2,25,Werebeast - Unnatural Abilities 2,Prerequisite Trait Therianthropy,
Hunter ,Humanoid,Environmental Adaptation,Hunters,T1,6,Adept Hunter 1,,
Slayer ,Humanoid,Environmental Adaptation,Hunters,T2,8,Monster Hunter 2,Class Trait Only,
Specialized Weapon,Humanoid,Environmental Adaptation,Hunters,T2,0,Armory: Advanced Melee Weapon 1 6pts or Advanced Ranged Weapon 1 7pts,Class Trait Only,
Tracking the Beast ,Humanoid,Environmental Adaptation,Hunters,T2,6,Sentry 10; Infiltrate 8,Class Trait Only,
Shadow Hunter ,Humanoid,Environmental Adaptation,Hunters,T2,8,Shadow Hunter 2,Class Trait Only,
Agile ,Humanoid,Environmental Adaptation,Mobility,T1,4,Evasion 1,,
Berserker ,Humanoid,Environmental Adaptation,Mobility,T1,4,Charger 1,,
Sprinters ,Humanoid,Environmental Adaptation,Mobility,T1,4,Natural Sprinter 2,,
Fast Movement ,Humanoid,Environmental Adaptation,Mobility,T1,6,Increase Movement 1,,
Running Up Walls ,Humanoid,Environmental Adaptation,Mobility,T1,4,Climbing 4,,
Unnatural Speed ,Humanoid,Environmental Adaptation,Mobility,T1,8,Natural Sprinter 2,,
Humanoid Monster ,Humanoid,Environmental Adaptation,Mythical,T1,5,5pts (Monsters of Myth and Legend): Hybrid Monster 1,Class Trait Only,
Monstrous Beast ,Humanoid,Environmental Adaptation,Mythical,T1,20,20pts + Costs 100 progression/Class Level (Monsters of Myth and Legend): Monster 4,Class Trait Only,
The Occult ,Humanoid,Environmental Adaptation,Occult,T1,4,Occult 1 Class Trait Only,,
The Blood Sacrifice ,Humanoid,Environmental Adaptation,Occult,T2,8,Blood Sacrifice,,
Occult Leaders 1,Humanoid,Environmental Adaptation,Occult,T2,10,Increase Willpower 2,Class Trait Only (Level 3+),
Ritual Mastery 1,Humanoid,Environmental Adaptation,Occult,T2,14,Occult 1 Occult Powers 2,Class Trait Only,
Forbidden Knowledge 3,Humanoid,Environmental Adaptation,Occult,T2,30,Forbidden Lore - Light or Darkness Spheres Only,Class Trait Only (Levels 3+),
Faith ,Humanoid,Environmental Adaptation,Religious,T1,2,Religious Follower 1,,
Holy Warriors ,Humanoid,Environmental Adaptation,Religious,T2,4,Holy Warrior (only affects Priests of Light),,
Religious Zealots ,Humanoid,Environmental Adaptation,Religious,T2,4,Religious Zealots Increase Morale 1,,
Contact Entity ,Humanoid,Environmental Adaptation,Sacred,T1,3,Planar Contact,,
Healer ,Humanoid,Environmental Adaptation,Sacred,T1,1,First Aid,,
Priestly Vessel ,Humanoid,Environmental Adaptation,Sacred,T1,5,Priest 1 (Powers); Sacred Faith 1 (Powers),,
Dark Lord 1,Humanoid,Environmental Adaptation,Sacred,T2,15,Dark Lord,Class Trait Only (Level 3+);Priests of Darkness Only,
Druid Guardian 1,Humanoid,Environmental Adaptation,Sacred,T2,10,Druid,Class Trait Only (Level 2+); Priests of Twilight only,
Greater Faith ,Humanoid,Environmental Adaptation,Sacred,T2,5,Power Augmentation 1 - Priest Only (Powers) - Faith Powers Only,,
High Priests 1,Humanoid,Environmental Adaptation,Sacred,T2,10,High Priest 1 Priest 2 (Powers),Class Trait Only,
Greater Healer ,Humanoid,Environmental Adaptation,Sacred,T2,3,First Aid-Improved,,
Religious Incantations ,Humanoid,Environmental Adaptation,Sacred,T2,5,Sacred Faith 1 (Powers),,
Warlock ,Humanoid,Environmental Adaptation,Sacred,T2,5,Warlock 1,,
Warlock Hunter ,Humanoid,Environmental Adaptation,Sacred,T2,8,Warlock - Hunter 2,Pre: Warlock,
Warlock Magus 2,Humanoid,Environmental Adaptation,Sacred,T2,25,Warlock 2; Warlock Mastery 2,Class Trait Only (Level 3+),
Will of the Gods 1,Humanoid,Environmental Adaptation,Sacred,T2,10,Power Augmentation 2 - Priest,Class Trait Only,
Scientific Adaptability ,Humanoid,Environmental Adaptation,Scientific,T1,2,Adaptive Science 1,,
Observational Science Trait 4 ,Humanoid,Environmental Adaptation,Scientific,T2,4,Adaptive Science 1,,
Scientific Breakthroughs ,Humanoid,Environmental Adaptation,Scientific,T2,4,Rare Traits 2 - Knowledge and Science,,
Brawler ,Humanoid,Environmental Adaptation,Survivalist,T1,4,Dirty Fighting,,
Concealment ,Humanoid,Environmental Adaptation,Survivalist,T1,2,Concealment,,
Observation ,Humanoid,Environmental Adaptation,Survivalist,T2,1,Loner 1pt: Recon,,
One with the land ,Humanoid,Environmental Adaptation,Survivalist,T2,4,Advantageous Cover 2,,
Sole Survivor ,Humanoid,Environmental Adaptation,Survivalist,T2,8,Loner Increase Defense 1,,
The Best Place to Be ,Humanoid,Environmental Adaptation,Survivalist,T2,2,Move Terrain 1,Class Trait Only,
Tracker ,Humanoid,Environmental Adaptation,Survivalist,T2,3,Sentry 8 Infiltrate 15,,
Improved Bow Construction,Humanoid,Knowledge and Science,Archery,T1,0,Armory: Advanced Ranged Weapons 1 7pts,,
Heavy Crossbows ,Humanoid,Knowledge and Science,Archery,T1,0,Armory: Heavy Crossbow 8pts,,
Repeater Crossbows ,Humanoid,Knowledge and Science,Archery,T1,0,Armory: Repeater Crossbow 5pts,,
Masterwork Bows ,Humanoid,Knowledge and Science,Archery,T2,0,Armory: Advanced Ranged Weapons 1 12pts,,
Melee Combat Specialist ,Humanoid,Knowledge and Science,Melee,T1,5,Increase Martial 1,,
Martial Axes ,Humanoid,Knowledge and Science,Melee,T1,0,Armory: Martial Axes 4pts; Armory: Battle Axes 6pts,,
Martial Hammers ,Humanoid,Knowledge and Science,Melee,T1,0,Armory: Martial Hammers 4pts,,
Martial Thrusting Weapons ,Humanoid,Knowledge and Science,Melee,T1,0,Armory: Thrusting Weapons 4pts,,
Martial Blades ,Humanoid,Knowledge and Science,Melee,T1,0,Armory: Martial Swords 5pts,,
Arming Swords ,Humanoid,Knowledge and Science,Melee,T2,0,Armory: Arming Swords 7pts,,
Two Handed Swords ,Humanoid,Knowledge and Science,Melee,T2,0,Armory: Two Handed Martial Sword 7pts,,
Warhammers,Humanoid,Knowledge and Science,Melee,T2,0,Armory: Warhammers 7pts,,
Advanced Composites,Humanoid,Knowledge and Science,Armor,T1,0,Armory: Advanced Armor 1 10pts,,
Tower Shields,Humanoid,Knowledge and Science,Armor,T1,0,Armory: Body Shield 10pts,,
Chain Mail ,Humanoid,Knowledge and Science,Armor,T1,0,Armory: Medium Armor 10pts,,
Plate Armor ,Humanoid,Knowledge and Science,Armor,T2,0,Armory: Plate Armor 15pts,,
Masterwork Armor,Humanoid,Knowledge and Science,Armor,T2,0,Armory: Advanced Armor 1 16pts,,
Unique Armors,Humanoid,Knowledge and Science,Armor,T2,0,Armory: Advanced Armor 1 26pts,Mission Award Only,
Arcane Research ,Humanoid,Knowledge and Science,Arcane,T1,6,Power Augmentation 1 (Powers),Wizardry or Sorcery only,
Sorcerer ,Humanoid,Knowledge and Science,Arcane,T1,6,Sorcery 1 (Powers),,
Wizardry ,Humanoid,Knowledge and Science,Arcane,T1,3,Wizardry 1 (Powers),,
Arcane Lore 1,Humanoid,Knowledge and Science,Arcane,T2,12,Power Augmentation 2 (Powers),Class Trait Only|Pre-requisite Trait: Wizardry ,
War Mage 1,Humanoid,Knowledge and Science,Arcane,T2,10,Battle Mage 2,Class Trait; Sorcery or Wizardry,
Channeler ,Humanoid,Knowledge and Science,Arcane,T2,8,Expert Channeler 1,,
Greater Sorcery 2,Humanoid,Knowledge and Science,Arcane,T2,25,Sorcery 2 (Power),Class Trait Only,
Master Wizard 1,Humanoid,Knowledge and Science,Arcane,T2,10,Wizardry 2 (Power),Class Trait Only,
Arcane Mastery 2,Humanoid,Knowledge and Science,Arcane,T2,20,Arch Mage 1,Class Trait Only,
Reckless Magic 1,Humanoid,Knowledge and Science,Arcane,T2,12,Power Surge 2,Class Trait Only|Pre: Wizardry,
Prepared for Action ,Humanoid,Knowledge and Science,Operations,T1,2,Lay of the Land 1,,
Rigid Command ,Humanoid,Knowledge and Science,Operations,T1,2,Command Structure 2,Class Trait Only,
Skilled Commander ,Humanoid,Knowledge and Science,Operations,T1,4,Increase Command 1,,
Squad Leadership ,Humanoid,Knowledge and Science,Operations,T1,2,Squad Leader 1,Class Trait Only (Level 1-2),
Strength of Will ,Humanoid,Knowledge and Science,Operations,T1,4,Increase Morale 1,,
Quick Response ,Humanoid,Knowledge and Science,Operations,T1,2,Taking the Initiative 1,,
Change of Plans ,Humanoid,Knowledge and Science,Operations,T2,4,Battlefield Objectives 2,,
Command of the Field ,Humanoid,Knowledge and Science,Operations,T2,8,Increase Command 1,,
Critical Thinking ,Humanoid,Knowledge and Science,Operations,T2,4,Critical Timing,,
Dual Commanders ,Humanoid,Knowledge and Science,Operations,T2,3,Dual Command 2,,
Critical Reserves ,Humanoid,Knowledge and Science,Operations,T2,6,Strategic Mind 3,,
Defensive Positioning ,Humanoid,Knowledge and Science,Combat Tactics,T1,4,Combat Enhancement 1 - Defensive Only,,
Advanced Positions ,Humanoid,Knowledge and Science,Combat Tactics,T1,4,Infiltrate 15,Class Trait Only,
Mounted Combat Training ,Humanoid,Knowledge and Science,Combat Tactics,T1,4,Mounted Combat 1,,
Forward Observation ,Humanoid,Knowledge and Science,Combat Tactics,T1,2,Recon,,
Brace for Impact ,Humanoid,Knowledge and Science,Combat Tactics,T1,2,Set for the Charge,,
Bashing the Enemy ,Humanoid,Knowledge and Science,Combat Tactics,T1,2,Shield Bash 1,,
Coordinated Defensive Training ,Humanoid,Knowledge and Science,Combat Tactics,T1,4,Shield Wall 2,Class Trait Only,
Hopelite Training ,Humanoid,Knowledge and Science,Combat Tactics,T1,2,Spear and Shield,,
Champion Combatant ,Humanoid,Knowledge and Science,Combat Tactics,T2,8,Quickness 1,Class Trait Only (Level 3+),
Search and Destroy ,Humanoid,Knowledge and Science,Combat Tactics,T2,8,Ranger,,
War Veterans ,Humanoid,Knowledge and Science,Combat Tactics,T2,8,War Veteran,Class Trait Only,
Gifted Willpower ,Humanoid,Knowledge and Science,Concentration,T1,4,Increase Willpower 1,,
Controlled Powers ,Humanoid,Knowledge and Science,Concentration,T1,4,Meditation 1,,
Focused Mind ,Humanoid,Knowledge and Science,Concentration,T2,6,Focus 1,,
Powerful Will ,Humanoid,Knowledge and Science,Concentration,T2,8,Increase Willpower 1,,
Ethereal Resolve ,Humanoid,Knowledge and Science,Concentration,T2,8,Ethereal Fortitude 1,,
Intense Concentration ,Humanoid,Knowledge and Science,Concentration,T2,8,Concentration 2,Class Trait Only; Wizard or Sorcery Only,
The Mind’s Eye ,Humanoid,Knowledge and Science,Concentration,T2,8,Mind’s Eye 2,,
Forbidden Knowledge 2,Humanoid,Knowledge and Science,Forbidden,T1,20,Forbidden Lore,Class Trait Only (Level 3+),
Infinite Knowledge 5,Humanoid,Knowledge and Science,Forbidden,T2,50,Knowledge of the Infinite,Class Trait Only (Level 5),
Thunder Pipe ,Humanoid,Knowledge and Science,Firearms,T1,0,Armory: Blunderbuss 12pts,,
Gunpowder Weapons ,Humanoid,Knowledge and Science,Firearms,T1,0,Armory: Flintlock Pistol 7pts; Armory: Flintlock Rifle 12pts,,
Advanced Rifle,Humanoid,Knowledge and Science,Firearms,T2,0,Armory: Advanced Ranged Weapons 1 8pts,1st Age,
Masterwork Firearms ,Humanoid,Knowledge and Science,Firearms,T2,0,Armory: Advanced Ranged Weapons 1 12pts,,
Multi-Barrel Firearms ,Humanoid,Knowledge and Science,Firearms,T2,0,Armory: Multi-Barrel Rifles 5pts/ Multi-Barrel Pistols 7pts - per extra barrel,,
Master Tech Firearms ,Humanoid,Knowledge and Science,Firearms,T2,0,Armory: Advanced Ranged Weapons 1 15pts,,
Large Scale Engineering ,Humanoid,Knowledge and Science,Heavy Weapons,T1,0,Armory: Ballista 60pts,,
Munitions,Humanoid,Knowledge and Science,Heavy Weapons,T1,0,Armory: Cannon 70pts,,
Military Siege Equipment,Humanoid,Knowledge and Science,Heavy Weapons,T1,0,Armory: Onager 55pts,,
Military Precision Weapons,Humanoid,Knowledge and Science,Heavy Weapons,T1,0,Armory: Scorpio 40pts,,
Advanced Military Weapons ,Humanoid,Knowledge and Science,Heavy Weapons,T2,0,Armory: Advanced Heavy Weapons 1 15pts,,
Early Artillery ,Humanoid,Knowledge and Science,Heavy Weapons,T2,0,Armory: Bombard 75pts,,
Early Rocketry,Humanoid,Knowledge and Science,Heavy Weapons,T2,0,Armory: Hwacha 100pts,,
Massive War Engine ,Humanoid,Knowledge and Science,Heavy Weapons,T2,0,Armory: Advanced Heavy Weapons 2 50pts,,
Solid Craftsmanship ,Humanoid,Knowledge and Science,Manufacturing,T1,4,Craftsmanship 1,,
Forgemaster ,Humanoid,Knowledge and Science,Manufacturing,T1,5,Weapon Forges 1,Class Trait Only,
Improved Melee Weapons,Humanoid,Knowledge and Science,Manufacturing,T1,0,Armory: Advanced Melee Weapons 1 7pts,,
Quality Repairs and Maintenance ,Humanoid,Knowledge and Science,Manufacturing,T1,0,Armory: Abundant Resources -1pts,,
Thrown Weapon Specialization,Humanoid,Knowledge and Science,Manufacturing,T1,0,Armory: Advanced Melee Weapons 1 5pts (Thrown Weapons Only),,
Artisan Forges 1,Humanoid,Knowledge and Science,Manufacturing,T2,10,Weapon Forges 1 Masterwork Melee Weapons Armory: Advanced Melee Weapons 1 12pts,Class Trait Only,
Thrown Weapon Customization ,Humanoid,Knowledge and Science,Manufacturing,T2,0,Armory: Advanced Ranged Weapons 1 8pts (Thrown Weapons Only),,
Grappling ,Humanoid,Knowledge and Science,Martial Arts,T1,4,Grappling,Class Trait only,
Hand to Hand Combat ,Humanoid,Knowledge and Science,Martial Arts,T1,1,1pt: Unarmed Combat,,
Animal Forms X,Humanoid,Knowledge and Science,Martial Arts,T2,0,Animal Forms 2,Class Trait Only (Level 3+),
Breaking Strikes ,Humanoid,Knowledge and Science,Martial Arts,T2,6,Breaking Strike 3 Unarmed Combat Only,Class Trait Only,
Locks and Holds ,Humanoid,Knowledge and Science,Martial Arts,T2,2,Locks and Holds X  Unarmed Combat Only,Class Trait Only,
Martial Arts ,Humanoid,Knowledge and Science,Martial Arts,T2,1,Martial Arts 1 Increase Defense 1,Class Trait Only,
